perfil,ingresos,estabilidad,gasto_pct,categoria,tend_ingresos,expectativa,tend_egresos,control,planificacion
3,7500,0,90,1,0,1,0,3,3
0,7500,1,70,1,-1,1,1,3,3
1,15000,1,50,3,1,0,0,2,2
1,7500,1,70,1,1,1,0,3,2
0,2500,0,30,1,0,1,1,5,3
2,7500,0,70,1,-1,1,2,3,2
1,15000,1,90,1,0,1,1,3,3
1,7500,1,70,2,0,1,1,4,3
1,15000,0,90,1,0,1,1,3,2
0,2500,0,70,2,1,0,1,4,3
0,15000,1,30,1,1,1,2,5,3
3,7500,1,70,1,0,-1,2,5,3
1,15000,1,50,1,1,0,1,3,2
1,15000,1,90,1,1,1,1,4,2
1,15000,1,90,1,0,1,1,4,2
0,15000,1,90,1,0,1,2,2,2
3,2500,0,90,1,0,2,1,1,1
3,7500,1,70,1,0,1,0,2,1
0,15000,1,90,1,0,1,1,4,2
0,2500,0,50,1,0,1,1,4,2
2,7500,0,70,1,1,-1,1,3,3
0,2500,1,90,2,0,2,0,3,2
2,7500,0,70,1,0,1,1,4,2
1,25000,1,50,1,0,1,1,4,3
0,7500,1,50,2,0,1,2,4,2
1,15000,0,70,1,1,1,1,1,1
2,2500,0,70,1,1,2,0,1,3
1,7500,0,70,1,-1,-1,1,3,2
0,2500,0,70,1,1,1,1,4,3
1,35000,1,90,7,0,1,0,4,3
